"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 21 17:24:18 GMT 2022","Thu Jul 21 17:24:18 GMT 2022","54","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Thu Jul 21 17:20:48 GMT 2022","Thu Jul 21 17:20:48 GMT 2022","111","","Hub Controller Suite","","Hub Controller Suite","","[BeforeSuite]",""
"passed","Thu Jul 21 17:20:48 GMT 2022","Thu Jul 21 17:20:48 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Already Injected Should skip injection",""
"failed","Thu Jul 21 17:20:49 GMT 2022","Thu Jul 21 17:20:49 GMT 2022","106","","Worker Controller Suite","","Worker Controller Suite","","[BeforeSuite]",""
"failed","Thu Jul 21 17:24:13 GMT 2022","Thu Jul 21 17:24:13 GMT 2022","407","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"broken","Thu Jul 21 17:20:49 GMT 2022","Thu Jul 21 17:20:49 GMT 2022","0","","Worker Controller Suite","","Worker Controller Suite","","[AfterSuite]",""
"passed","Thu Jul 21 17:20:48 GMT 2022","Thu Jul 21 17:20:48 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired New deployment with proper annotation should enable injection",""
"passed","Thu Jul 21 17:20:48 GMT 2022","Thu Jul 21 17:20:48 GMT 2022","8","","Manifest Suite","","Manifest Suite","","[It] Manifest File With k8s deployment manifest Should parse file into k8s deployment in the slice",""
"passed","Thu Jul 21 17:24:18 GMT 2022","Thu Jul 21 17:24:18 GMT 2022","330","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Thu Jul 21 17:20:48 GMT 2022","Thu Jul 21 17:20:48 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Empty annotations,but namespace is part of slice->auto netpol should enable injection",""
"broken","Thu Jul 21 17:20:48 GMT 2022","Thu Jul 21 17:20:48 GMT 2022","0","","Hub Controller Suite","","Hub Controller Suite","","[AfterSuite]",""
"passed","Thu Jul 21 17:24:13 GMT 2022","Thu Jul 21 17:24:13 GMT 2022","279","","Hub Suite","","Hub Suite","","[AfterSuite]",""
