"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 21 16:18:15 GMT 2022","Thu Jul 21 16:18:15 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Already Injected Should skip injection",""
"passed","Thu Jul 21 16:21:11 GMT 2022","Thu Jul 21 16:21:40 GMT 2022","29182","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"failed","Thu Jul 21 16:21:11 GMT 2022","Thu Jul 21 16:23:16 GMT 2022","125917","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"failed","Thu Jul 21 16:21:11 GMT 2022","Thu Jul 21 16:21:15 GMT 2022","4541","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"broken","Thu Jul 21 16:18:15 GMT 2022","Thu Jul 21 16:18:15 GMT 2022","0","","Hub Controller Suite","","Hub Controller Suite","","[AfterSuite]",""
"failed","Thu Jul 21 16:24:06 GMT 2022","Thu Jul 21 16:27:52 GMT 2022","226825","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Thu Jul 21 16:18:16 GMT 2022","Thu Jul 21 16:18:16 GMT 2022","100","","Worker Controller Suite","","Worker Controller Suite","","[BeforeSuite]",""
"passed","Thu Jul 21 16:24:06 GMT 2022","Thu Jul 21 16:24:30 GMT 2022","24059","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Thu Jul 21 16:18:15 GMT 2022","Thu Jul 21 16:18:15 GMT 2022","9","","Manifest Suite","","Manifest Suite","","[It] Manifest File With k8s deployment manifest Should parse file into k8s deployment in the slice",""
"skipped","Thu Jul 21 16:21:11 GMT 2022","Thu Jul 21 16:21:11 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Thu Jul 21 16:18:15 GMT 2022","Thu Jul 21 16:18:15 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired New deployment with proper annotation should enable injection",""
"failed","Thu Jul 21 16:21:11 GMT 2022","Thu Jul 21 16:21:19 GMT 2022","8425","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"broken","Thu Jul 21 16:18:16 GMT 2022","Thu Jul 21 16:18:16 GMT 2022","0","","Worker Controller Suite","","Worker Controller Suite","","[AfterSuite]",""
"passed","Thu Jul 21 16:18:15 GMT 2022","Thu Jul 21 16:18:15 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Empty annotations,but namespace is part of slice->auto netpol should enable injection",""
"skipped","Thu Jul 21 16:21:11 GMT 2022","Thu Jul 21 16:21:11 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Thu Jul 21 16:21:11 GMT 2022","Thu Jul 21 16:21:13 GMT 2022","2954","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Thu Jul 21 16:21:11 GMT 2022","Thu Jul 21 16:21:14 GMT 2022","3530","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"failed","Thu Jul 21 16:18:15 GMT 2022","Thu Jul 21 16:18:15 GMT 2022","108","","Hub Controller Suite","","Hub Controller Suite","","[BeforeSuite]",""
