"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 22 09:37:44 GMT 2022","Fri Jul 22 09:37:44 GMT 2022","33","","Hub Controller Suite","","Hub Controller Suite","","[BeforeSuite]",""
"broken","Fri Jul 22 09:37:44 GMT 2022","Fri Jul 22 09:37:44 GMT 2022","5","","Hub Controller Suite","","Hub Controller Suite","","[AfterSuite]",""
"failed","Fri Jul 22 09:41:51 GMT 2022","Fri Jul 22 09:41:51 GMT 2022","495","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Fri Jul 22 09:41:45 GMT 2022","Fri Jul 22 09:41:46 GMT 2022","1304","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"failed","Fri Jul 22 09:37:47 GMT 2022","Fri Jul 22 09:37:47 GMT 2022","169","","Worker Controller Suite","","Worker Controller Suite","","[BeforeSuite]",""
"passed","Fri Jul 22 09:41:51 GMT 2022","Fri Jul 22 09:41:51 GMT 2022","482","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Fri Jul 22 09:37:44 GMT 2022","Fri Jul 22 09:37:44 GMT 2022","5","","Manifest Suite","","Manifest Suite","","[It] Manifest File With k8s deployment manifest Should parse file into k8s deployment in the slice",""
"broken","Fri Jul 22 09:37:47 GMT 2022","Fri Jul 22 09:37:47 GMT 2022","0","","Worker Controller Suite","","Worker Controller Suite","","[AfterSuite]",""
"passed","Fri Jul 22 09:37:44 GMT 2022","Fri Jul 22 09:37:44 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Empty annotations,but namespace is part of slice->auto netpol should enable injection",""
"passed","Fri Jul 22 09:37:44 GMT 2022","Fri Jul 22 09:37:44 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired New deployment with proper annotation should enable injection",""
"passed","Fri Jul 22 09:37:44 GMT 2022","Fri Jul 22 09:37:44 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Already Injected Should skip injection",""
"passed","Fri Jul 22 09:41:45 GMT 2022","Fri Jul 22 09:41:45 GMT 2022","190","","Hub Suite","","Hub Suite","","[AfterSuite]",""
