"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 24 14:48:24 GMT 2022","Sun Jul 24 14:48:24 GMT 2022","439","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Sun Jul 24 14:48:18 GMT 2022","Sun Jul 24 14:48:18 GMT 2022","163","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Sun Jul 24 14:44:20 GMT 2022","Sun Jul 24 14:44:20 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Empty annotations,but namespace is part of slice->auto netpol should enable injection",""
"passed","Sun Jul 24 14:44:20 GMT 2022","Sun Jul 24 14:44:20 GMT 2022","3","","Manifest Suite","","Manifest Suite","","[It] Manifest File With k8s deployment manifest Should parse file into k8s deployment in the slice",""
"failed","Sun Jul 24 14:48:18 GMT 2022","Sun Jul 24 14:48:19 GMT 2022","1142","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"failed","Sun Jul 24 14:44:20 GMT 2022","Sun Jul 24 14:44:20 GMT 2022","153","","Worker Controller Suite","","Worker Controller Suite","","[BeforeSuite]",""
"passed","Sun Jul 24 14:48:24 GMT 2022","Sun Jul 24 14:48:24 GMT 2022","436","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"failed","Sun Jul 24 14:44:20 GMT 2022","Sun Jul 24 14:44:20 GMT 2022","57","","Hub Controller Suite","","Hub Controller Suite","","[BeforeSuite]",""
"passed","Sun Jul 24 14:44:20 GMT 2022","Sun Jul 24 14:44:20 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired New deployment with proper annotation should enable injection",""
"broken","Sun Jul 24 14:44:20 GMT 2022","Sun Jul 24 14:44:20 GMT 2022","1","","Hub Controller Suite","","Hub Controller Suite","","[AfterSuite]",""
"broken","Sun Jul 24 14:44:20 GMT 2022","Sun Jul 24 14:44:20 GMT 2022","0","","Worker Controller Suite","","Worker Controller Suite","","[AfterSuite]",""
"passed","Sun Jul 24 14:44:20 GMT 2022","Sun Jul 24 14:44:20 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Already Injected Should skip injection",""
