"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 24 14:31:18 GMT 2022","Sun Jul 24 14:31:18 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Empty annotations,but namespace is part of slice->auto netpol should enable injection",""
"failed","Sun Jul 24 14:31:19 GMT 2022","Sun Jul 24 14:31:19 GMT 2022","96","","Worker Controller Suite","","Worker Controller Suite","","[BeforeSuite]",""
"failed","Sun Jul 24 14:34:20 GMT 2022","Sun Jul 24 14:34:20 GMT 2022","600","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Sun Jul 24 14:34:20 GMT 2022","Sun Jul 24 14:34:20 GMT 2022","339","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"broken","Sun Jul 24 14:31:18 GMT 2022","Sun Jul 24 14:31:18 GMT 2022","0","","Hub Controller Suite","","Hub Controller Suite","","[AfterSuite]",""
"broken","Sun Jul 24 14:31:19 GMT 2022","Sun Jul 24 14:31:19 GMT 2022","0","","Worker Controller Suite","","Worker Controller Suite","","[AfterSuite]",""
"passed","Sun Jul 24 14:31:18 GMT 2022","Sun Jul 24 14:31:18 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired New deployment with proper annotation should enable injection",""
"failed","Sun Jul 24 14:31:18 GMT 2022","Sun Jul 24 14:31:18 GMT 2022","82","","Hub Controller Suite","","Hub Controller Suite","","[BeforeSuite]",""
"failed","Sun Jul 24 14:34:16 GMT 2022","Sun Jul 24 14:34:16 GMT 2022","857","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Sun Jul 24 14:34:16 GMT 2022","Sun Jul 24 14:34:16 GMT 2022","185","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Sun Jul 24 14:31:18 GMT 2022","Sun Jul 24 14:31:18 GMT 2022","2","","Manifest Suite","","Manifest Suite","","[It] Manifest File With k8s deployment manifest Should parse file into k8s deployment in the slice",""
"passed","Sun Jul 24 14:31:18 GMT 2022","Sun Jul 24 14:31:18 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Already Injected Should skip injection",""
