"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 21 05:52:34 GMT 2022","Thu Jul 21 05:52:34 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Already Injected Should skip injection",""
"broken","Thu Jul 21 05:52:34 GMT 2022","Thu Jul 21 05:52:34 GMT 2022","0","","Hub Controller Suite","","Hub Controller Suite","","[AfterSuite]",""
"failed","Thu Jul 21 05:52:34 GMT 2022","Thu Jul 21 05:52:34 GMT 2022","78","","Worker Controller Suite","","Worker Controller Suite","","[BeforeSuite]",""
"passed","Thu Jul 21 05:52:34 GMT 2022","Thu Jul 21 05:52:34 GMT 2022","2","","Manifest Suite","","Manifest Suite","","[It] Manifest File With k8s deployment manifest Should parse file into k8s deployment in the slice",""
"failed","Thu Jul 21 05:52:34 GMT 2022","Thu Jul 21 05:52:34 GMT 2022","103","","Hub Controller Suite","","Hub Controller Suite","","[BeforeSuite]",""
"passed","Thu Jul 21 05:52:34 GMT 2022","Thu Jul 21 05:52:34 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired New deployment with proper annotation should enable injection",""
"passed","Thu Jul 21 05:57:10 GMT 2022","Thu Jul 21 06:03:10 GMT 2022","360453","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"broken","Thu Jul 21 05:52:34 GMT 2022","Thu Jul 21 05:52:34 GMT 2022","0","","Worker Controller Suite","","Worker Controller Suite","","[AfterSuite]",""
"failed","Thu Jul 21 05:55:39 GMT 2022","Thu Jul 21 05:56:10 GMT 2022","31059","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Thu Jul 21 05:55:39 GMT 2022","Thu Jul 21 05:56:39 GMT 2022","60107","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Thu Jul 21 05:52:34 GMT 2022","Thu Jul 21 05:52:34 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Empty annotations,but namespace is part of slice->auto netpol should enable injection",""
"failed","Thu Jul 21 05:57:10 GMT 2022","Thu Jul 21 05:57:40 GMT 2022","30465","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
