"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 21 07:07:25 GMT 2022","Thu Jul 21 07:07:25 GMT 2022","91","","Worker Controller Suite","","Worker Controller Suite","","[BeforeSuite]",""
"passed","Thu Jul 21 07:11:44 GMT 2022","Thu Jul 21 07:11:44 GMT 2022","175","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Thu Jul 21 07:07:23 GMT 2022","Thu Jul 21 07:07:23 GMT 2022","9","","Manifest Suite","","Manifest Suite","","[It] Manifest File With k8s deployment manifest Should parse file into k8s deployment in the slice",""
"passed","Thu Jul 21 07:11:50 GMT 2022","Thu Jul 21 07:11:50 GMT 2022","438","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Thu Jul 21 07:07:24 GMT 2022","Thu Jul 21 07:07:24 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired New deployment with proper annotation should enable injection",""
"failed","Thu Jul 21 07:11:50 GMT 2022","Thu Jul 21 07:11:50 GMT 2022","309","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"broken","Thu Jul 21 07:07:25 GMT 2022","Thu Jul 21 07:07:25 GMT 2022","0","","Worker Controller Suite","","Worker Controller Suite","","[AfterSuite]",""
"failed","Thu Jul 21 07:07:24 GMT 2022","Thu Jul 21 07:07:24 GMT 2022","75","","Hub Controller Suite","","Hub Controller Suite","","[BeforeSuite]",""
"passed","Thu Jul 21 07:07:24 GMT 2022","Thu Jul 21 07:07:24 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Already Injected Should skip injection",""
"broken","Thu Jul 21 07:07:24 GMT 2022","Thu Jul 21 07:07:24 GMT 2022","0","","Hub Controller Suite","","Hub Controller Suite","","[AfterSuite]",""
"passed","Thu Jul 21 07:07:24 GMT 2022","Thu Jul 21 07:07:24 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Empty annotations,but namespace is part of slice->auto netpol should enable injection",""
"failed","Thu Jul 21 07:11:44 GMT 2022","Thu Jul 21 07:11:45 GMT 2022","1260","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
