"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 21 14:03:39 GMT 2022","Thu Jul 21 14:03:39 GMT 2022","0","","Hub Controller Suite","","Hub Controller Suite","","[AfterSuite]",""
"failed","Thu Jul 21 14:03:39 GMT 2022","Thu Jul 21 14:03:39 GMT 2022","150","","Worker Controller Suite","","Worker Controller Suite","","[BeforeSuite]",""
"failed","Thu Jul 21 14:08:25 GMT 2022","Thu Jul 21 14:08:55 GMT 2022","30368","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Thu Jul 21 14:03:39 GMT 2022","Thu Jul 21 14:03:39 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Empty annotations,but namespace is part of slice->auto netpol should enable injection",""
"passed","Thu Jul 21 14:03:39 GMT 2022","Thu Jul 21 14:03:39 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired New deployment with proper annotation should enable injection",""
"passed","Thu Jul 21 14:03:39 GMT 2022","Thu Jul 21 14:03:39 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Already Injected Should skip injection",""
"failed","Thu Jul 21 14:06:54 GMT 2022","Thu Jul 21 14:07:25 GMT 2022","31059","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Thu Jul 21 14:08:25 GMT 2022","Thu Jul 21 14:14:25 GMT 2022","360449","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Thu Jul 21 14:06:54 GMT 2022","Thu Jul 21 14:07:54 GMT 2022","60122","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"failed","Thu Jul 21 14:03:39 GMT 2022","Thu Jul 21 14:03:39 GMT 2022","105","","Hub Controller Suite","","Hub Controller Suite","","[BeforeSuite]",""
"broken","Thu Jul 21 14:03:39 GMT 2022","Thu Jul 21 14:03:39 GMT 2022","0","","Worker Controller Suite","","Worker Controller Suite","","[AfterSuite]",""
"passed","Thu Jul 21 14:03:39 GMT 2022","Thu Jul 21 14:03:39 GMT 2022","4","","Manifest Suite","","Manifest Suite","","[It] Manifest File With k8s deployment manifest Should parse file into k8s deployment in the slice",""
